entity_type,entity_value,count
ORG,Jacksonville,1
ORG,James,1
ORG,K.C. Bowl,1
ORG,Kansas City-Oakland,1
ORG,Kansas City Public Schools,1
ORG,Kansas City Raiders,1
ORG,Kansas City School District,1
ORG,Kids R Us,1
ORG,L.U,1
ORG,Legislative Black Caucus,1
ORG,Lincoln High,1
ORG,Lincoln University Marching Band,1
ORG,Louis,1
ORG,Louis Rams,1
ORG,Louisiana State,1
ORG,Lowly Chiefs,1
ORG,Mental Health,1
ORG,Metropolitan Spiritual,1
ORG,Michigan State University,1
ORG,Midnighters,1
ORG,Minnesota Vikings,1
ORG,Missouri National Guard,1
ORG,Missouri School District,1
ORG,Missouri Tiger,1
ORG,Monarch,1
ORG,Monday Nite,1
ORG,Monday Nite Footballers,1
ORG,Monday Niters Football,1
ORG,Moonglows,1
ORG,Motown,1
ORG,New,1
ORG,New York Giants,1
ORG,Northwestern Mutual Insurance Company,1
ORG,Oakland Chiefs,1
ORG,Palestine Senior Citizens Center,1
ORG,"Peachtree, M And M Bakery",1
ORG,Penn Valley,1
ORG,Philadelphia,1
ORG,Philly,1
ORG,Pittsburg,1
ORG,Police Department,1
ORG,Ponies,1
ORG,Ravens,1
ORG,Raytown Middle School Blue Jays,1
ORG,Rhythm Lanes,1
ORG,Rockets,1
ORG,Room,1
ORG,S Place,1
ORG,Sakin,1
ORG,Sam Francisco,1
ORG,San Francisco Forty Niners,1
ORG,School,1
ORG,Seahawks,1
ORG,Shell,1
ORG,Silver And Black,1
ORG,Soul Stirrers,1
ORG,Southeast Middle,1
ORG,Steeler,1
ORG,Sumner Elementary,1
ORG,Switzer,1
ORG,Syracuse,1
ORG,Tampa Bay Buccaneers,1
ORG,Temporary Executive Services,1
ORG,Temptations,1
ORG,Texans,1
ORG,Those Chiefs,1
ORG,Thus,1
ORG,Town High,1
ORG,Twin City,1
ORG,Umkc Dental School,1
ORG,University Of Chicago,1
ORG,University Of Illinois,1
ORG,Usc,1
ORG,Vick,1
ORG,Vick-Tory,1
ORG,Wayside Waifs,1
ORG,Wendell Phillips,1
ORG,Western Electric,1
ORG,Western Electric Plant,1
ORG,Woodland,1
ORG,Xavier,1
ORG,Young Bloods,1
PER,Ike,64
PER,Carl Clark,42
PER,Paul Booker,41
PER,Charles Allen,40
PER,Ed West,39
PER,Ike Gardner,36
